City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,23.85,87,100,3.6,US,1673929984
1,albany,42.6001,-73.9662,-1.31,70,8,2.3,US,1673929168
2,isangel,-19.55,169.2667,26.91,64,97,5.1,VU,1673929985
3,rikitea,-23.1203,-134.9692,25.32,70,4,3.36,PF,1673929986
4,san jose,37.3394,-121.895,10.72,82,75,2.57,US,1673929384
5,kaitangata,-46.2817,169.8464,17.83,66,70,5.4,NZ,1673929988
6,mar del plata,-38.0023,-57.5575,21.02,97,100,6.26,AR,1673929733
7,hobart,-42.8794,147.3294,29.47,52,75,7.2,AU,1673929697
8,san cristobal,7.7669,-72.225,19.1,95,53,1.03,VE,1673929742
9,kapaa,22.0752,-159.319,26.18,81,20,1.54,US,1673929992
10,nantucket,41.2835,-70.0995,2.03,82,100,6.69,US,1673929993
11,burnie,-41.0667,145.9167,22.75,73,91,3.38,AU,1673929943
12,avarua,-21.2078,-159.775,27.03,65,12,2.06,CK,1673929995
13,bandar,2.05,99.75,29.82,57,100,2.3,ID,1673929996
14,port alfred,-33.5906,26.891,23.43,99,100,4.53,ZA,1673929997
15,kavieng,-2.5744,150.7967,28.48,69,100,4.34,PG,1673929998
16,jinxiang,27.4327,120.6062,8.71,58,85,3.21,CN,1673929999
17,zhanaozen,43.3,52.8,-4.45,41,2,5.82,KZ,1673930000
18,arraial do cabo,-22.9661,-42.0278,23.04,93,1,9.04,BR,1673930000
19,asau,46.4333,26.4,0.71,76,63,2.57,RO,1673930001
20,butaritari,3.0707,172.7902,27.18,79,21,6.44,KI,1673930002
21,tuktoyaktuk,69.4541,-133.0374,-20.0,84,100,3.6,CA,1673930003
22,tiksi,71.6872,128.8694,-30.63,100,100,2.96,RU,1673930004
23,saint george,37.1041,-113.5841,8.33,59,0,2.06,US,1673929861
24,castro,-24.7911,-50.0119,18.44,97,100,1.18,BR,1673930007
25,carnarvon,-24.8667,113.6333,27.94,44,0,8.45,AU,1673929757
